	SRR12626034	SRR12626035	SRR12626036	SRR12626040	SRR12626041	SRR12626042
A1CF	32	33	24	45	16	68
A2M	3835	4737	3084	10410	7572	7071
A2M-AS1	70	55	19	39	20	33
A2ML1	69	35	37	11	4	13
AAAS	557	664	565	637	479	615
AACS	192	129	134	162	112	152
AADAT	209	281	230	639	342	461
AAGAB	4996	5181	4444	8253	5158	6325
AAK1	1560	1263	1300	2493	1223	1575
AAMDC	472	501	434	603	347	399
AAMP	217	276	135	254	176	239
AAR2	470	401	278	396	263	415
AARS	1332	1263	892	1512	913	1179
AARS2	34	46	46	58	38	46
AASDH	1406	1258	1350	1498	803	1224
AASDHPPT	10146	8736	8708	14825	8115	10331
AASS	4676	4205	3913	5059	2274	3912
ABAT	1751	1284	1174	1209	856	899
ABCA1	6228	6097	4981	15722	6935	8488
ABCA11P	493	372	296	640	261	457
ABCA12	20	33	30	103	35	50
ABCA13	169	189	125	308	209	210
ABCA3	27	47	26	44	38	36
ABCA4	1298	1142	1007	693	468	684
ABCA5	1877	1752	1709	1259	526	989
ABCA8	57	51	28	49	33	53
ABCB1	131	98	50	171	129	140
ABCB10	396	412	350	706	323	517
ABCB6	118	168	92	122	61	84
ABCB7	2255	2391	2028	2595	1591	2105
ABCC1	67	60	46	66	33	88
ABCC4	2405	2183	2011	3240	1792	2150
ABCC5	2800	2758	2324	5190	3200	4659
ABCC6P1	45	30	32	29	25	56
ABCC9	41	38	35	23	50	59
ABCD2	1976	1099	1273	1167	508	926
ABCD3	2845	2286	2429	3153	1826	2651
ABCD4	192	213	123	192	112	143
ABCE1	7796	7035	7108	14046	7269	10622
ABCF2	2302	2013	1588	3548	2124	2484
ABCF3	269	265	124	312	194	263
ABCG1	297	241	188	232	120	168
ABHD10	942	948	739	1032	595	962
ABHD11	85	78	48	97	53	59
ABHD12	24	45	32	37	28	51
ABHD12B	12	27	24	51	20	50
ABHD13	378	345	353	439	191	300
ABHD14A	47	43	29	29	20	24
ABHD14B	74	64	44	43	25	54
ABHD15	58	42	36	50	37	38
ABHD17B	485	424	444	545	278	383
ABHD17C	130	75	68	137	103	74
ABHD2	1292	1151	1003	2078	1182	1509
ABHD3	288	240	202	330	182	288
ABHD4	1055	1318	961	928	702	985
ABHD5	962	859	851	1126	711	937
ABHD6	372	397	389	498	275	361
ABI1	3148	3200	3076	5450	2992	3608
ABI2	8859	8117	8058	9883	5810	8012
ABI3BP	127	116	84	82	19	92
ABL1	152	138	66	124	77	105
ABL2	1157	1287	1072	2522	1449	1548
ABLIM1	12292	11206	11162	13828	9039	12906
ABLIM2	67	42	44	44	34	50
ABRACL	1852	1437	1601	2513	1307	1605
ABT1	171	162	85	268	132	178
ACAA1	47	42	27	54	26	21
ACAA2	2100	2040	1773	2635	1532	1838
ACACB	69	64	31	62	43	41
ACAD10	140	148	112	121	88	105
ACAD11	199	221	189	185	117	170
ACAD8	221	236	217	289	165	222
ACAD9	288	248	210	361	250	255
ACADM	5741	4391	4311	7657	3545	4986
ACADSB	4021	3666	3632	3070	1637	2645
ACADVL	387	333	262	414	281	323
ACAP2	2510	2487	2390	2946	1307	2518
ACAT1	1803	1441	1170	1330	683	1100
ACAT2	1318	1593	1294	3608	1963	2203
ACBD3	3027	3163	2813	4367	2267	3412
ACBD5	924	756	669	822	480	662
ACBD6	138	113	110	198	119	124
ACBD7	236	228	200	143	108	212
ACE2	107	82	105	49	20	97
ACER3	535	451	416	771	361	534
ACIN1	279	305	203	315	186	228
ACKR3	240	191	108	160	87	192
ACLY	1018	1390	1059	1998	1271	1621
ACO1	311	372	329	450	256	334
ACO2	693	656	393	537	368	500
ACOT13	1533	1433	1306	1968	1150	1470
ACOT7	35	34	23	167	100	82
ACOT9	256	307	183	482	328	386
ACOX1	2068	1899	1535	2458	1557	2116
ACOX2	298	229	238	753	458	540
ACOX3	56	67	26	107	72	91
ACP1	11094	11104	10356	15342	8990	11462
ACP2	112	116	77	144	109	98
ACP6	62	87	76	124	89	107
ACPP	78	107	73	105	72	114
ACRC	84	122	120	115	78	95
ACSF2	74	69	68	64	26	58
ACSL1	644	577	417	1030	571	989
ACSL3	490	501	516	687	342	425
ACSL4	1543	1562	1262	2686	1061	1602
ACSL6	230	200	180	156	71	93
ACSS1	39	45	47	12	9	9
ACSS2	230	264	183	303	235	225
ACSS3	109	103	98	122	41	119
ACTA2	120	160	52	1254	631	809
ACTB	18610	20752	15631	41599	26519	29293
ACTG1	17719	17584	11527	34616	19562	24355
ACTG1P17	44	53	32	41	24	63
ACTG1P20	74	59	54	73	70	76
ACTG1P4	75	78	77	39	17	40
ACTG2	52	223	41	4396	1920	1287
ACTL6A	3852	3001	2808	4507	2502	3213
ACTN1	225	221	137	1202	612	513
ACTN2	21	27	26	26	18	68
ACTN4	57	83	45	201	90	118
ACTR10	1687	1580	1202	2329	1437	1568
ACTR1A	785	779	706	1417	894	984
ACTR1B	62	83	27	91	49	88
ACTR2	5968	5679	4745	11772	7317	9065
ACTR3	3061	2719	2321	4859	2657	3430
ACTR3B	362	281	257	398	222	269
ACTR6	2174	2400	2198	3479	1849	2765
ACTR8	650	679	582	965	581	798
ACVR1	366	371	271	571	364	408
ACVR1B	90	111	70	124	82	89
ACVR1C	396	445	331	78	39	137
ACVR2A	1781	1766	1667	1927	1082	1427
ACVR2B	1430	2045	1700	1771	1006	1453
ACYP1	983	867	819	851	494	734
ACYP2	660	566	513	538	320	473
ADA	25	29	21	73	25	32
ADAL	1380	1172	1248	1404	907	1415
ADAM10	4252	3705	3193	5043	2341	3629
ADAM12	791	699	525	2137	997	1049
ADAM17	1127	1171	933	1811	961	1194
ADAM19	66	79	55	456	256	154
ADAM1A	228	230	218	362	203	227
ADAM20P1	66	97	68	90	36	61
ADAM21	46	41	22	40	24	22
ADAM22	431	352	463	451	211	307
ADAM23	784	724	670	769	442	664
ADAM28	281	222	101	950	351	529
ADAM9	2996	3280	2191	6037	3363	4142
ADAMTS1	1787	1666	1335	5044	2711	3565
ADAMTS12	206	168	146	225	141	174
ADAMTS17	91	50	32	40	9	26
ADAMTS18	524	617	584	315	127	210
ADAMTS3	604	447	429	800	425	513
ADAMTS5	77	36	37	148	66	88
ADAMTS6	1925	1393	1345	1518	725	1173
ADAMTS9	2498	2141	1911	2190	1192	1627
ADAMTS9-AS1	71	66	64	87	36	38
ADAMTS9-AS2	113	136	90	198	75	204
ADAMTSL3	468	475	416	280	163	307
ADAMTSL4	17	46	33	40	13	31
ADAR	4537	4722	4295	5893	3735	4873
ADARB1	163	151	91	264	147	173
ADAT1	452	333	320	651	401	497
ADAT2	1253	1288	1265	1436	759	1326
ADCK1	124	108	88	107	96	100
ADCY1	88	96	56	81	45	36
ADCY10P1	237	333	253	261	100	173
ADCY2	368	409	360	574	348	392
ADCY6	151	196	137	195	143	153
ADCY7	72	48	50	138	66	63
ADCY8	74	90	73	121	72	90
ADCY9	130	134	109	66	53	67
ADCYAP1	22	20	8	38	42	13
ADCYAP1R1	52	49	57	23	9	33
ADD1	323	298	233	400	249	315
ADD2	69	104	60	119	48	99
ADD3	6200	5077	4977	5388	2635	3609
ADGB	729	613	583	528	259	443
ADGRA3	967	921	807	1530	842	1077
ADGRB3	220	226	190	315	146	171
ADGRG1	80	72	50	232	134	89
ADGRG2	417	659	536	307	300	429
ADGRL1	77	93	70	73	51	53
ADGRL2	477	501	324	658	338	427
ADGRL3	908	718	616	1547	836	983
ADGRV1	2650	2087	1973	2803	1151	2004
ADH5	6449	6473	6087	8298	4635	6064
ADHFE1	795	893	854	416	209	356
ADI1	261	247	207	146	107	145
ADIPOR1	1076	1032	817	1073	622	918
ADIPOR2	158	171	116	161	143	155
ADK	1082	942	761	1686	832	1042
ADM	67	126	73	107	90	137
ADNP	3169	3103	2826	4325	2130	2922
ADNP2	1957	1898	1573	2570	1341	1844
ADO	124	85	85	161	96	117
ADORA2B	130	213	122	286	158	166
ADPGK	909	966	791	1041	580	991
ADPRHL2	193	176	123	183	115	161
ADPRM	290	279	301	317	199	250
ADRA1A	52	52	59	57	32	58
ADRBK2	369	437	346	419	241	323
ADRM1	51	63	41	75	45	63
ADSL	2135	2038	1976	3631	2302	2529
ADSS	815	914	750	905	447	756
ADTRP	117	81	53	938	435	437
AEBP1	58	58	27	55	43	50
AEBP2	12379	10411	10163	15739	7094	11293
AEN	129	94	82	239	131	177
AES	242	244	181	221	144	173
AFAP1	92	85	61	127	92	96
AFF1	5523	5179	4828	4814	2867	3947
AFF2	293	337	262	389	253	306
AFF3	402	339	315	444	260	337
AFF4	2609	3199	2433	3885	2870	3926
AFG3L1P	150	152	119	153	140	151
AFG3L2	510	443	414	568	282	320
AFMID	78	106	77	183	80	130
AFTPH	1036	887	833	1166	573	904
AGA	526	396	411	560	286	471
AGAP1	225	193	158	178	100	128
AGAP3	75	55	31	62	37	47
AGAP6	57	53	59	64	30	72
AGBL2	140	104	65	35	32	49
AGBL4	55	42	51	31	20	32
AGBL5	147	144	124	183	128	143
AGFG1	2239	1798	2020	3119	1635	2146
AGGF1	1016	1029	1086	1665	750	1013
AGK	952	741	709	1222	681	973
AGL	5962	5091	4970	3827	1459	3279
AGO1	737	668	521	1032	750	935
AGO3	230	244	185	282	146	202
AGO4	558	610	552	746	389	633
AGPAT3	41	77	53	114	70	72
AGPAT4	650	599	408	944	532	585
AGPAT4-IT1	103	62	65	158	55	76
AGPAT5	1926	2043	1727	2631	1400	2072
AGPS	4575	4169	4007	8445	4270	6510
AGTPBP1	743	786	727	1053	523	743
AGTRAP	108	136	60	199	99	128
AHCTF1	2418	2125	1794	3146	1281	2252
AHCTF1P1	214	155	155	274	104	149
AHCY	559	590	387	771	476	595
AHCYL1	4549	4304	4055	4573	2705	3627
AHCYL2	877	634	642	891	494	744
AHDC1	62	66	40	47	51	43
AHI1	3398	2876	2349	3924	1372	3081
AHNAK	854	1198	906	1763	1212	1495
AHNAK2	179	365	225	1293	546	697
AHR	165	207	130	711	282	313
AHSA1	529	548	482	639	323	507
AHSA2	545	444	436	502	229	371
AIDA	128	140	111	242	146	138
AIF1L	72	87	51	189	141	135
AIFM1	540	503	412	601	363	409
AIFM2	68	66	38	79	42	71
AIFM3	68	39	42	18	25	23
AIG1	2053	2200	1726	3151	1819	2376
AIM1	155	129	183	145	66	161
AIM2	227	141	166	98	80	88
AIMP1	3277	3347	3080	5043	2464	3667
AIMP2	92	72	72	138	116	86
AIP	58	50	38	50	16	30
AJAP1	56	41	42	67	36	49
AJUBA	319	275	261	669	422	473
AK1	127	125	68	153	114	126
AK2	398	427	279	470	330	438
AK3	1760	1428	1505	1945	855	1184
AK4	5106	5228	4696	4958	2919	4292
AK5	34	28	32	35	21	44
AK6	296	17	10	16	9	28
AK7	568	570	405	470	277	464
AK8	337	283	190	346	153	288
AK9	1095	1041	949	1095	547	801
AKAP1	120	144	121	170	82	90
AKAP10	870	922	752	952	505	821
AKAP11	1693	1554	1177	1856	676	1477
AKAP12	8648	9836	7668	39586	16498	18219
AKAP13	1756	1601	1316	1889	1036	1316
AKAP14	1096	818	762	907	721	969
AKAP3	54	53	61	90	22	58
AKAP5	257	292	227	193	116	181
AKAP6	1775	1608	1356	2824	1657	2142
AKAP7	396	301	376	570	279	449
AKAP8	253	218	205	316	217	194
AKAP8L	60	91	76	90	59	78
AKAP9	18399	8789	6636	19550	6579	12773
AKIP1	78	90	59	117	80	102
AKIRIN1	679	563	497	1068	541	761
AKIRIN2	232	253	191	301	193	251
AKNA	52	39	32	27	24	44
AKR1A1	883	797	540	908	641	745
AKR1B1	719	738	527	1134	829	845
AKR1C1	44	49	42	77	32	48
AKR1C2	21	12	47	35	18	37
AKR1C3	29	66	40	62	34	55
AKR1C8P	49	32	22	11	1	5
AKR7A2	85	101	46	103	72	92
AKT1	45	66	23	77	29	55
AKT1S1	30	40	42	49	24	30
AKT2	70	100	58	56	48	103
AKTIP	962	896	920	1045	636	804
ALAD	114	101	119	118	112	101
ALAS1	1689	1779	1577	2445	1603	1913
ALCAM	286	319	336	631	328	483
ALDH18A1	2345	2521	2135	3833	2224	2635
ALDH1B1	157	182	116	450	202	262
ALDH1L2	48	93	69	110	45	78
ALDH2	300	351	291	383	176	224
ALDH3A2	685	685	606	1058	572	807
ALDH5A1	954	801	759	863	558	772
ALDH6A1	2352	2342	2046	1678	920	1384
ALDH7A1	3288	3783	2985	5130	3467	4195
ALDH9A1	2416	2010	1579	1918	1076	1414
ALDOA	8314	9854	5421	9923	5533	8677
ALDOC	1617	2012	1386	1353	738	1413
ALG10	109	92	79	114	101	73
ALG10B	578	592	632	721	290	620
ALG11	555	496	429	782	509	590
ALG13	750	613	621	1203	508	785
ALG14	559	441	458	791	397	537
ALG2	203	233	206	351	199	200
ALG3	126	151	122	154	138	120
ALG5	1413	1289	1128	1937	1075	1449
ALG6	1209	938	907	1229	712	1239
ALG8	2511	2411	2404	3711	2213	2907
ALG9	438	479	434	439	352	424
ALKBH1	212	184	183	305	166	182
ALKBH2	64	46	39	105	43	24
ALKBH3	54	45	39	47	41	28
ALKBH5	1150	1341	1129	1214	782	1081
ALKBH8	413	326	393	690	289	408
ALMS1	660	470	487	884	347	713
ALMS1-IT1	123	164	130	123	71	87
ALOX12-AS1	64	54	46	39	36	54
ALOX5AP	4	4	0	70	33	15
ALPK1	69	73	70	182	115	141
ALPK2	0	2	0	236	74	29
ALS2	2654	2840	2522	4458	2521	3322
ALS2CR12	57	39	37	50	33	40
AMBRA1	61	57	47	49	35	44
AMD1	5774	6194	5975	11113	5983	7861
AMER2	431	558	405	345	279	213
AMFR	595	550	406	747	421	532
AMIGO2	49	54	31	126	57	29
AMMECR1	896	695	678	1367	860	1046
AMMECR1L	191	221	114	448	182	231
AMN1	1310	1245	1268	1539	895	1329
AMOT	189	163	132	237	104	173
AMOTL1	606	626	517	1380	802	906
AMOTL2	455	424	346	902	520	633
AMPD2	218	266	166	268	195	215
AMPD3	39	30	31	47	36	61
AMPH	135	139	92	220	96	141
AMT	106	125	87	91	62	70
AMTN	0	6	1	185	131	42
AMY2B	1072	836	864	717	282	598
AMZ2	3168	3650	3369	4334	2433	3215
AMZ2P1	1254	1446	1155	1306	818	1073
ANAPC1	355	417	306	472	299	447
ANAPC10	982	845	828	1118	637	932
ANAPC11	1280	1269	796	1435	808	1158
ANAPC13	8439	7571	7088	10283	6105	8273
ANAPC15	125	131	104	194	136	145
ANAPC16	4204	4244	3877	3702	2345	3437
ANAPC4	867	845	763	1230	672	886
ANAPC5	1931	1957	1515	2529	1374	2059
ANAPC7	597	522	495	908	604	725
ANG	98	145	110	131	50	103
ANGEL1	141	175	141	186	106	135
ANGEL2	2016	2285	2097	2033	997	2006
ANGPT2	2746	2414	2448	1478	1389	2277
ANGPTL1	113	95	102	129	67	99
ANGPTL2	24	60	33	87	49	44
ANGPTL3	55	28	21	75	21	29
ANGPTL4	26	47	29	43	25	52
ANGPTL7	55	70	29	71	32	39
ANK2	2342	1928	1697	2638	1549	1719
ANK3	3270	3252	2859	4319	1871	2996
ANKAR	70	95	29	118	34	51
ANKDD1A	127	100	57	124	54	82
ANKEF1	222	204	179	160	85	119
ANKFY1	1424	1608	1063	1387	930	1328
ANKH	77	73	76	71	50	70
ANKHD1	468	435	413	505	251	395
ANKIB1	3852	3528	2957	5255	2481	3524
ANKLE2	147	162	116	234	179	168
ANKMY2	2082	2040	1929	2226	1446	1569
ANKRA2	1352	1480	1109	1596	810	1326
ANKRD1	68	68	56	612	281	191
ANKRD10	6643	6867	5873	8285	3527	6016
ANKRD11	488	425	343	582	354	413
ANKRD12	5557	3135	2451	5095	1672	3744
ANKRD13A	612	773	586	1223	764	894
ANKRD13C	859	776	627	1308	528	807
ANKRD16	43	36	46	82	30	40
ANKRD17	6783	5957	5731	8139	4825	6013
ANKRD18A	70	63	87	76	50	62
ANKRD19P	43	40	54	59	29	40
ANKRD26	1849	1602	1411	2079	653	1474
ANKRD27	181	212	146	155	115	121
ANKRD28	1374	1249	1170	1580	846	1223
ANKRD33B	50	55	47	187	100	109
ANKRD36	960	724	586	1073	512	762
ANKRD36B	601	488	398	823	235	462
ANKRD36BP1	519	499	411	902	559	667
ANKRD36BP2	95	82	71	94	38	89
ANKRD36C	917	649	602	1240	474	793
ANKRD37	549	1616	942	787	500	1050
ANKRD39	34	49	17	58	20	40
ANKRD40	1074	887	853	1523	830	1053
ANKRD42	1110	973	864	1216	742	1026
ANKRD44	2198	1513	1873	1753	701	1200
ANKRD45	779	795	579	2706	1041	1698
ANKRD46	2632	2737	2607	2827	1684	2427
ANKRD49	1160	978	1016	1333	733	1091
ANKRD50	2366	1845	1836	2511	1281	1598
ANKRD52	60	67	39	104	72	77
ANKRD54	194	213	136	147	144	177
ANKRD6	203	144	129	235	132	181
ANKS1A	262	266	174	367	222	275
ANKS1B	166	102	92	231	106	122
ANKS6	147	150	115	154	97	94
ANKUB1	91	66	48	84	95	53
ANKZF1	198	244	101	184	109	134
ANLN	859	619	533	1409	656	843
ANO10	185	220	229	340	190	198
ANO4	253	238	263	885	377	338
ANO5	6859	4736	4906	4747	1904	3798
ANO6	1572	1679	1498	3182	1676	2151
ANOS1	304	327	186	438	151	358
ANP32A	237	318	257	393	326	385
ANP32A-IT1	28	47	21	53	36	30
ANP32B	807	938	796	722	463	604
ANP32E	14272	14261	14014	17737	8492	12650
ANTXR1	2864	2703	2554	3337	1697	2500
ANTXR2	72	46	35	258	84	102
ANXA1	3400	4981	3352	35262	16148	14528
ANXA11	83	94	83	108	63	77
ANXA2	393	952	598	5729	3022	2480
ANXA2P2	21	34	24	267	87	97
ANXA3	365	527	319	3919	2155	2153
ANXA4	12692	12353	12585	7839	4463	7724
ANXA5	3675	4093	2770	9057	4846	5800
ANXA6	342	433	306	338	255	277
ANXA7	2919	2818	2021	3443	2066	3004
ANXA9	54	54	25	16	5	21
AOX1	10	17	12	59	46	31
AP1AR	217	199	189	379	142	237
AP1B1	42	39	24	60	41	18
AP1G1	3350	3457	3177	4504	2927	3787
AP1G2	144	133	98	114	68	79
AP1M1	94	91	67	120	90	79
AP1S2	2028	1801	1547	3251	1434	2062
AP1S3	167	199	181	323	236	290
AP2B1	3199	3771	2734	5357	3930	5237
AP2M1	2231	2243	1304	3747	2418	2955
AP2S1	93	97	77	144	61	117
AP3B1	1342	1194	1004	1929	955	1254
AP3B2	76	88	86	105	52	91
AP3D1	190	166	152	276	160	203
AP3M1	4666	4444	4584	7333	4477	5873
AP3M2	2255	2065	2282	3203	2139	2094
AP3S1	1024	954	867	1485	722	1113
AP3S2	34	43	31	48	45	46
AP4B1	253	247	215	330	199	261
AP4E1	423	393	335	709	304	503
AP4M1	61	55	33	49	32	58
AP4S1	180	105	134	263	154	198
AP5B1	69	60	47	93	47	80
AP5M1	5621	4428	4460	6047	3490	4291
AP5S1	114	102	98	158	89	119
APAF1	320	513	460	432	319	374
APBB1	48	64	28	63	45	40
APBB2	826	840	639	984	645	895
APC	8260	6835	4983	14950	5613	10734
APEH	495	408	320	591	368	493
APEX1	3016	2768	2405	4322	2671	3388
APEX2	145	178	141	255	191	185
APH1A	107	116	67	95	72	127
APH1B	726	790	674	608	381	636
API5	7024	6025	5120	9856	5378	6935
APIP	858	783	674	898	488	746
APLP1	132	109	68	150	94	103
APLP2	4932	4571	4340	4236	2624	3726
APMAP	652	657	534	829	580	722
APOA1BP	72	52	52	84	67	54
APOBEC2	402	469	443	269	184	342
APOBEC3B	84	62	55	171	141	110
APOBEC3C	252	270	191	456	200	295
APOBEC3F	55	50	42	88	43	52
APOBEC4	108	28	51	45	14	50
APOD	64	51	45	79	35	36
APOL2	499	682	443	717	423	530
APOL4	91	81	84	317	263	206
APOL6	11	22	33	56	39	46
APOO	535	463	389	587	366	458
APOOL	1440	1446	1090	2603	1151	1965
APOPT1	138	169	92	172	109	131
APP	820	1127	860	641	979	1475
APPBP2	4266	3978	3937	5653	3170	4291
APPL1	2287	2047	1929	2900	1476	2067
APPL2	2014	1818	1395	1397	691	1052
APRT	57	78	27	148	66	82
APTR	286	242	248	248	165	229
APTX	1072	1112	1049	1915	1088	1324
AQP1	2918	5074	3988	2180	1008	2331
AQP11	128	114	108	170	67	88
AQP4	98	74	67	47	16	18
AQP7P3	7	2	10	66	30	22
AQR	3569	3603	3259	5113	2893	4075
AR	38	26	51	43	39	49
ARAF	89	106	90	135	83	81
ARAP2	35	18	9	131	106	91
ARCN1	3847	3795	3104	5438	3063	4076
AREL1	1078	1008	874	1787	980	1149
ARF1	890	1012	725	1166	699	928
ARF3	301	324	228	504	307	331
ARF4	17819	17935	17414	30270	17168	20354
ARF5	149	190	87	220	108	129
ARF6	2909	2360	2499	4631	2913	3215
ARFGAP2	301	324	183	381	213	289
ARFGAP3	7843	7446	6942	10662	5461	8060
ARFGEF1	2171	1994	1702	2985	1329	2032
ARFGEF2	3053	2888	2729	3365	1780	2544
ARFGEF3	4699	5926	5536	5807	3227	5549
ARFIP1	1713	1460	1192	2141	1271	1688
ARFIP2	273	260	268	306	234	259
ARG1	102	90	42	169	48	104
ARG2	271	264	196	380	209	241
ARGLU1	1546	1298	1320	1732	850	1176
ARHGAP1	128	128	92	234	112	107
ARHGAP12	1377	1342	1031	1654	635	1205
ARHGAP17	122	122	95	221	132	148
ARHGAP18	4554	4141	3726	4619	2596	3514
ARHGAP19	858	973	880	1140	578	887
ARHGAP20	1043	911	925	664	318	556
ARHGAP21	1115	989	846	1481	799	1049
ARHGAP24	202	155	179	292	129	170
ARHGAP26	112	116	91	210	122	161
ARHGAP28	323	343	383	248	134	273
ARHGAP29	2101	1849	1855	3863	1625	2545
ARHGAP31	25	20	19	65	31	22
ARHGAP32	300	368	262	421	229	317
ARHGAP35	299	320	233	312	195	248
ARHGAP42	552	420	436	549	185	313
ARHGAP44	173	184	104	116	86	149
ARHGAP5	11397	10754	8969	12800	4942	9822
ARHGAP5-AS1	85	81	45	124	62	92
ARHGEF11	115	124	84	112	63	91
ARHGEF12	2127	2405	2074	2874	2154	2627
ARHGEF17	127	121	103	96	77	95
ARHGEF3	2693	2399	2161	5910	3270	4465
ARHGEF37	102	99	88	68	39	62
ARHGEF4	62	59	27	52	33	29
ARHGEF40	106	50	59	239	101	106
ARHGEF6	117	157	118	283	107	174
ARHGEF7	239	245	212	389	234	238
ARHGEF9	839	960	858	685	541	777
ARID1A	1772	1654	1446	2169	1317	1582
ARID1B	2495	2031	2023	2802	1558	2066
ARID2	5449	4906	4276	7406	2844	5094
ARID4A	1635	1589	1309	1837	779	1418
ARID4B	3928	3480	2871	4745	1812	3143
ARID5B	23602	22611	20184	66509	34259	40214
ARIH1	2585	2506	2451	2346	1703	2227
ARIH2	1605	1617	1264	1919	1172	1442
ARL1	11247	11832	11326	14637	7985	11694
ARL13B	3522	2307	2725	2829	1317	2162
ARL14	8	5	4	92	37	35
ARL14EP	3570	2909	2870	4586	2323	3189
ARL15	171	160	144	411	200	222
ARL16	63	71	39	66	40	36
ARL17A	58	55	52	78	55	57
ARL2	39	51	22	44	41	57
ARL2BP	829	786	630	1007	536	755
ARL3	5822	5161	4832	7123	4610	5444
ARL4A	3857	2785	2870	5625	3040	4750
ARL4C	4755	3998	3797	5695	3066	4223
ARL4D	17	27	13	37	34	31
ARL5A	1004	1004	932	1099	566	896
ARL5B	559	479	517	744	356	454
ARL6	905	865	750	1020	525	922
ARL6IP1	32425	31017	29918	30674	18417	25461
ARL6IP5	12872	12780	12456	19840	9916	12696
ARL6IP6	363	287	276	443	166	313
ARL8B	701	607	593	1003	584	766
ARMC1	2064	1740	1467	2336	1302	1808
ARMC2	377	304	199	282	158	226
ARMC3	9264	7486	7184	8069	4576	7789
ARMC4	651	650	759	533	283	584
ARMC8	5132	4514	4324	6183	3315	4509
ARMC9	745	637	592	1189	735	799
ARMCX1	154	145	116	161	103	103
ARMCX2	304	324	203	440	249	303
ARMCX3	1449	1283	992	2016	1101	1465
ARMCX4	592	527	501	498	223	377
ARMCX5	1504	1510	1395	1897	1105	1555
ARMCX5-GPRASP2	77	72	30	99	57	53
ARMCX6	107	95	78	122	74	71
ARMT1	3547	2967	2966	5310	2600	3347
ARNT	2697	2963	2636	2467	1479	2248
ARNT2	481	412	383	740	546	662
ARNTL	117	78	92	123	81	90
ARNTL2	19	33	34	206	75	116
ARPC1A	3008	2756	2030	3895	2116	2822
ARPC1B	17	31	19	60	37	34
ARPC2	2267	2504	2038	4763	2905	3386
ARPC3	4345	4665	4113	7485	4657	5813
ARPC4	464	514	325	968	557	579
ARPC5	1012	1028	741	2340	1210	1372
ARPC5L	82	54	60	112	70	79
ARPIN	98	75	73	120	55	130
ARPP19	10215	10143	9576	14164	7389	10149
ARR3	67	45	44	10	18	20
ARRB1	66	54	67	80	43	34
ARRDC3	38416	52364	44910	65283	32632	53656
ARRDC4	1800	1551	1613	2950	1554	2035
ARSB	818	707	651	1202	781	809
ARSD	277	276	229	394	220	267
ARSG	146	177	159	150	105	142
ARSJ	28	22	24	171	72	92
ARSK	252	275	182	313	87	236
ART3	101	47	32	35	22	21
ARV1	644	599	565	715	409	604
ARX	48	42	40	81	51	80
ASAH1	6904	6088	5441	7304	3978	4894
ASAH2	22	27	17	75	18	27
ASAH2B	33	48	33	77	26	25
ASAP1	938	1075	933	1689	833	1204
ASAP1-IT2	62	43	57	95	34	60
ASAP2	470	434	371	480	282	345
ASAP3	65	92	49	115	36	67
ASB1	139	115	87	142	122	108
ASB12	51	61	52	34	19	67
ASB13	159	120	83	129	92	113
ASB14	105	102	101	156	61	116
ASB15	15	7	5	64	14	20
ASB16-AS1	65	82	100	101	68	78
ASB3	188	205	145	251	147	199
ASB6	54	36	49	56	27	42
ASB7	335	248	320	390	250	246
ASB8	1718	1529	1449	1754	1031	1430
ASB9	75	98	54	20	14	15
ASCC1	1413	1470	1390	1778	1056	1353
ASCC2	41	50	35	63	43	57
ASCC3	2728	2348	2098	4672	2196	3366
ASCL1	52	43	52	30	42	25
ASF1A	1560	1097	869	1792	919	1166
ASH1L	3064	3282	2738	3009	1605	2748
ASH2L	312	271	303	493	280	328
ASIC1	37	47	30	49	40	22
ASNA1	146	127	84	122	85	89
ASNS	1397	1470	1366	2262	1272	1744
ASNSD1	3923	3430	3499	5277	2964	3828
ASPA	33	26	47	21	17	33
ASPH	2780	2513	2243	2624	1157	2049
ASPHD2	54	66	42	95	52	75
ASPM	327	216	147	355	191	237
ASPN	112	119	103	310	212	303
ASRGL1	98	108	97	142	91	106
ASS1	546	575	349	615	325	491
ASTE1	891	712	710	942	405	667
ASTN1	283	381	296	459	251	286
ASTN2	108	59	51	80	44	67
ASUN	1033	956	923	1756	973	1427
ASXL1	776	846	732	987	546	785
ASXL2	305	351	356	462	212	327
ASXL3	685	609	495	376	208	308
ATAD1	6130	6364	6406	8615	4710	6485
ATAD2	421	414	383	552	246	345
ATAD2B	1050	1005	854	1363	616	825
ATAD5	492	409	380	625	254	452
ATCAY	89	101	61	164	102	109
ATE1	4941	3956	4320	4332	2393	3483
ATF1	411	319	337	518	236	358
ATF2	6662	6234	5618	8588	3971	6224
ATF3	80	109	78	355	158	242
ATF4	491	633	514	763	489	522
ATF6	4768	4182	3610	6612	3571	4886
ATF7	515	533	439	731	425	522
ATF7IP	6005	5508	4794	5658	3212	4955
ATF7IP2	316	258	209	305	183	258
ATG10	240	213	173	274	200	178
ATG101	86	75	48	112	58	79
ATG12	5476	5185	4713	7524	4017	5590
ATG13	593	768	544	777	465	715
ATG14	256	259	214	327	158	251
ATG16L1	892	816	667	981	603	816
ATG2B	1350	1299	1221	1454	610	1150
ATG3	1029	899	835	1045	641	891
ATG4A	2149	1669	1643	3144	1887	2402
ATG4B	84	85	72	108	71	50
ATG4C	1672	1470	1334	2261	1179	1542
ATG5	698	589	537	805	425	633
